id;title;address;coordonnees
97;"La Maison natale de Colette";"415 Ldt la Bruyere, 89520 Saint-Sauveur-en-Puisaye, France";47.63384,3.2142
98;"Musée Claude Bernard";"1012 D35, 69640 Saint-Julien, France";46.024173,4.664789
99;"Maison d'Ampère";"374 Chem. du Cruy, 69250 Poleymieux-au-Mont-d'Or, France";45.857123,4.801015
100;"Maison Saint Vincent de Paul";"12 Rue Voltaire, 01400 Châtillon-sur-Chalaronne, France";46.123734,4.959621
101;"Maison Ravier";"8 Rés la Bichonnière, 38510 Morestel, France";45.680904,5.469625
102;"Malagar Centre François Mauriac";"2 Malagarre S, 33490 Saint-Maixant, France";44.582003,-0.244233
103;"Maison Caillebotte";"23 Rue de Concy, 91330 Yerres, France";48.710884,2.491344
104;"Maison natale de Condorcet";"33 Rue Condorcet, 02240 Ribemont, France";49.796107,3.459898
105;"Atelier-musée Jean Lurçat";"181 Rue de Labrunie, 46400 Saint-Laurent-les-Tours, France";44.870614,1.886789
106;"Manoir des Deux Mondes";"4 Pl. Lafayette, 43230 Paulhaguet, France";45.206682,3.515432
107;"Maisons Erik Satie";"42 Chem. Saint-Nicol, 14600 Honfleur, France";49.409689,0.22466
108;"Maison de Louis Antoine Saint-Just";"9 Rue de la Chouette, 02300 Blérancourt, France";49.513879,3.147688
109;"Maison familiale d'Henri Matisse";"23 Rue Albert Calmette, 02110 Bohain-en-Vermandois, France";49.990771,3.457532
110;"Hôtel de Cabrières – Sabatier d'Espeyran";"8 Rue Anatole France, 34000 Montpellier, France";43.605445,3.876137
111;"Maison de Paul Bourget";"1388 Av. de la Font des Horts, 83400 Hyères, France";43.091704,6.123035
112;"Maison natale de Jean-François Millet";"rue de, La Fosse Yvon, 50440 La Hague, France";49.658268,-1.818829
113;"Musée-maison natale du Maréchal Joffre";"21 Rue de Romani, 66600 Rivesaltes, France";42.779609,2.883106
114;"Atelier Renoir";"1 Rue Gambetta, 10360 Essoyes, France";48.058099,4.537065
115;"Petite Plaisance";"35 S Shore Rd, Northeast Harbor, ME 04662, USA";44.288924,-68.288513
116;"Bureau d'Aimé Césaire - Espace Muséal Aimé Césaire";"47 Rue de la Republique, Fort-de-France 97200, Martinique";14.60657,-61.069921
117;"Domaine de Rosmapamon, Maison d'Ernest Renan";"19 Rue Anatole France, 22700 Perros-Guirec, France";48.816666,-3.444877
118;"Château de Bazoches";"5 Rte des Vieilles Vignes, 58190 Bazoches, France";47.372156,3.793262
